metadata,smokingcat,readcode,medcode
Name: smoking_cprd_gold                               ,Ex/current smoker,ZV11600,72700
Author: Marta Berglund      ,Current smoker,ZV6D800,35055
Date: 2025-05-13                          ,Current smoker,ZV4K000,12954
Categories:                                        ,Ex/current smoker,Eu17300,101519
1. Current smoker,Current smoker,Eu17.00,61905
2. Ex/current smoker,Current smoker,Eu170,111853
3. Non-smoker,Current smoker,Eu172,107792
,Current smoker,Eu171,56144
,Current smoker,Eu175,112529
                                                   ,Current smoker,ZG23300,9045
                                                   ,Current smoker,9OO..00,28834
                                                   ,Current smoker,9OO1.00,12953
                                                   ,Current smoker,67H6.00,98137
                                                   ,Current smoker,8I2J.00,63717
                                                   ,Current smoker,8I3M.00,57639
                                                   ,Current smoker,13p6.00,28886
                                                   ,Current smoker,137Y.00,12963
                                                   ,Current smoker,137J.00,12943
                                                   ,Current smoker,137X.00,12965
                                                   ,Ex/current smoker,137g.00,46300
                                                   ,Current smoker,137P.00,93
                                                   ,Non-smoker,137L.00,60
                                                   ,Current smoker,137R.00,10558
                                                   ,Current smoker,9ko..11,104310
                                                   ,Current smoker,9ko..00,98347
                                                   ,Ex smoker,137T.00,12878
                                                   ,Current smoker,9N4M.00,11527
                                                   ,Ex smoker,137O.00,19488
                                                   ,Ex smoker,137N.00,26470
                                                   ,Ex smoker,137l.00,100495
                                                   ,Ex smoker,137S.00,90
                                                   ,Ex smoker,137j.00,97210
                                                   ,Ex smoker,137A.00,12956
                                                   ,Ex smoker,1378,12957
                                                   ,Ex smoker,1379,12955
                                                   ,Ex smoker,137F.00,12946
                                                   ,Ex smoker,9km..11,100963
                                                   ,Ex smoker,9km..00,98447
                                                   ,Ex smoker,1377,12961
                                                   ,Ex smoker,137B.00,12959
                                                   ,Current smoker,38DH.00,97643
                                                   ,Current smoker,ZRBm200,63666
                                                   ,Current smoker,137m.,101338
                                                   ,Current smoker,ZRBm211,63299
                                                   ,Current smoker,6791,2111
                                                   ,Current smoker,1375,3568
                                                   ,Current smoker,137C.00,12964
                                                   ,Current smoker,67H1.00,18926
                                                   ,Current smoker,1373,12944
                                                   ,Ex/current smoker,13p8.00,102951
                                                   ,Current smoker,137h.00,62686
                                                   ,Current smoker,1374,1878
                                                   ,Current smoker,ZRaM.00,47273
                                                   ,Current smoker,13p0.00,34126
                                                   ,Non-smoker,1371,33
                                                   ,Current smoker,8B2B.00,9833
                                                   ,Current smoker,8I2I.00,66409
                                                   ,Current smoker,8BP3.00,67178
                                                   ,Current smoker,8B3f.00,25106
                                                   ,Current smoker,8I39.00,24529
                                                   ,Current smoker,745H100,85975
                                                   ,Current smoker,745H200,85247
                                                   ,Current smoker,745H300,89464
                                                   ,Current smoker,745H000,81440
                                                   ,Current smoker,E023.00,6359
                                                   ,Non-smoker,13WK.00,52503
                                                   ,Non-smoker,1371.11,11788
                                                   ,Non-smoker,9kn..11,101878
                                                   ,Non-smoker,9kn..00,98177
                                                   ,Current smoker,137d.00,30762
                                                   ,Current smoker,1372.11,12941
                                                   ,Current smoker,ZRao.00,91513
                                                   ,Current smoker,J08..,17588
                                                   ,Current smoker,745Hy00,91708
                                                   ,Current smoker,8B3Y.00,32572
                                                   ,Current smoker,137H.00,12947
                                                   ,Current smoker,137a.00,12967
                                                   ,Current smoker,13p5000,101764
                                                   ,Current smoker,67A3.00,10184
                                                   ,Current smoker,137b.00,31114
                                                   ,Current smoker,137f.00,46321
                                                   ,Current smoker,ZRh4.00,59866
                                                   ,Ex smoker,137K000,99838
                                                   ,Current smoker,9NS0200,102361
                                                   ,Current smoker,8HkQ.00,98154
                                                   ,Current smoker,8H7i.00,18573
                                                   ,Current smoker,8HTK.00,10742
                                                   ,Current smoker,9OO2.00,40418
                                                   ,Current smoker,ZRh4.11,49418
                                                   ,Current smoker,137M.00,12945
                                                   ,Current smoker,9N2k.00,11356
,Current smoker,137P.11,1823
,Current smoker,137..11,12942
,Ex/current smoker,H310100,16717
,Current smoker,9kc..00,96992
,Ex/current smoker,8HBP.00,105710
,Current smoker,8CAL.00,7622
,Current smoker,8IAj.00,100099
,Current smoker,8CAg.00,41042
,Current smoker,745H400,94958
,Current smoker,8IEM.00,104185
,Current smoker,13p..00,10211
,Current smoker,8IEK.00,104230
,Current smoker,13p5.00,38112
,Current smoker,745H.00,74907
,Current smoker,745Hz00,90522
,Current smoker,9kc0.00,98493
,Current smoker,13p4.00,10898
,Current smoker,137V.00,12966
,Current smoker,137e.00,41979
,Current smoker,137Q.11,12951
,Current smoker,137Q.00,12952
,Ex/current smoker,13p7.00,103208
,Current smoker,13p1.00,34127
,Current smoker,13p3.00,41405
,Current smoker,13p2.00,34374
,Current smoker,9OO..11,32083
,Current smoker,8HBM.00,98245
,Current smoker,9OO4.00,42722
,Current smoker,9OO5.00,60720
,Current smoker,9OO6.00,66387
,Current smoker,9OOZ.00,21637
,Current smoker,9OO3.00,40417
,Current smoker,9OO8.00,58597
,Current smoker,9OO7.00,53101
,Current smoker,9OOA.00,19485
,Current smoker,9OO..12,7130
,Current smoker,9OO9.00,63901
,Ex smoker,137K.00,776
,Current smoker,137c.00,30423
,Current smoker,137..00,54
,Current smoker,137Z.00,12960
,Current smoker,E251.00,32687
,Ex smoker,E251300,72706
,Current smoker,E251z00,68658
,Current smoker,E251100,70746
,Current smoker,E2512,108835
,Current smoker,E251000,95610
,Ex/current smoker,137n.00,105711
,Current smoker,1372,12958
,Current smoker,137G.00,12240
,Current smoker,1376,1822